farm_id,farm_class,x_coord,y_coords
F61,small,30160.894876135026,48907.13531229253
F62,small,24043.21983781773,20138.27282442479
F63,small,22556.54196218774,37137.58819968725
F64,small,22189.98423406753,37509.34962358732
F65,small,13788.463525081119,27492.737426649815
F66,small,21616.878972128652,21459.69894549584
F67,small,32828.965478726896,23984.49732572388
F68,small,15920.203642714272,39179.716195471454
F69,small,34792.28586776985,13288.823781631516
F70,small,26745.246333995154,26276.736582945174
F71,small,28415.800489138957,47198.24631633418
F72,small,21014.240941320997,56144.81600253225
F73,small,42441.324246678756,31613.3299673962
F74,small,22383.10411913549,8972.832384149548
F75,small,25114.873949918754,54625.495556234455
F76,small,23074.818135696674,23444.191906922613
F77,small,11975.084526142322,34431.500462027725
F78,small,9262.569463513802,44619.699837781154
F79,small,44858.75600332036,26694.92889712966
F80,small,24609.96001509004,29460.836815169816
F81,small,10106.360291205086,56709.49972810524
F82,small,24138.212803855666,26023.836998263243
F83,small,28523.25676023064,55830.32270378975
F84,small,42666.141388878925,29777.760905518797
F85,small,24839.708540193238,22897.769686553
F86,small,29885.121113543308,38285.63334385107
F87,small,27621.381679527014,7886.453557644468
F88,small,35171.9524815879,50612.268125541945
F89,small,37743.81687035166,7040.126523310919
F90,small,16615.08879996782,45722.32102946208
F91,small,5669.980282245749,30375.791007602627
F92,small,3948.4348931283585,42654.57451409474
F93,small,16904.689459584897,49470.247820994715
F94,small,22436.747190158396,19570.333728598558
F95,small,13139.908898310963,42796.069608912854
F96,small,31362.689137791338,51126.17332131029
F97,small,38701.90689746795,45815.07502946877
F98,small,10462.017371782904,51983.41734622095
F99,small,24071.63435511475,25330.621214011033
F100,small,9388.665696605449,33781.80686932887
F101,small,32853.77585926517,16123.294233280189
F102,small,28322.560470725086,56386.7563611067
F103,small,8375.310185394696,29142.73626535587
F104,small,25914.024274175845,14558.524217800279
F105,small,17677.329798244347,38999.7304041844
F106,small,41079.32737155278,33506.99567332161
F107,small,22440.968898308463,16953.324610464806
F108,small,38405.54533985201,21811.880292630583
F109,small,22012.48364479719,45415.36290411149
F110,small,26736.86839943738,42423.554765300236
F111,small,14540.394927941994,52368.923435806966
F112,small,37267.97760379435,21659.410250837962
F113,small,31550.75014968837,23918.08541507357
F114,small,30800.485623010896,21373.415054572215
F115,small,15506.320050821258,56129.547563336535
F116,small,34555.206222847846,53165.00563708689
F117,small,30795.80939441857,54165.76254719514
F118,small,37529.109242232946,4219.653940814949
F119,small,39298.20422001361,9294.192009253002
F120,small,21622.715891635202,45341.13808559799
F121,small,28884.844774782792,24070.496643543713
F122,small,32155.842160518103,15802.293103229173
F123,small,10100.140984544125,44696.79191581861
F124,small,15675.008607277372,48130.035209437716
F125,small,12508.123213571433,56444.449196024536
F126,small,35206.458877702644,25416.629374446824
F127,small,34643.9651308953,39697.53602032595
F128,small,37591.80037820451,51259.78020182316
F129,small,31863.875844501224,34364.13281884877
F130,small,16100.807340310394,39074.98457267036
F131,small,25121.525870021276,55836.71228248373
F132,small,7170.951606647876,44286.87539761222
F133,small,33879.94882010978,33147.78041122704
F134,small,12678.525092093316,49450.1050685657
F135,small,3559.6640496144937,28279.955543598157
F136,small,14795.110468513854,48495.32980012029
F137,small,14316.479016221954,36036.96620141411
F138,small,33223.061303170034,21588.056904095185
F139,small,19101.639815233302,39853.200675107095
F140,small,44193.16959404721,31084.569150337662
F141,small,25448.77060218032,50423.2769743618
F142,small,32134.390102128193,8652.461043288322
F143,small,36017.509794036625,27133.096979173504
F144,small,21152.95514117629,26794.635379997042
F145,small,26253.338173090586,15637.026367775617
F146,small,39146.522606907034,3379.0108683060093
F147,small,28924.532187181005,56558.53704941697
F148,small,20110.336935477084,45944.05203502796
F149,small,17737.947337597685,40937.97621363308
F150,small,28620.668975628305,38473.075057835034
F151,small,33429.723851373725,33966.01098076324
F152,small,28254.758591192032,14546.147411888216
F153,small,34548.84645932159,47416.20750996834
F154,small,5575.518744635083,46255.276228312185
F155,small,43011.50144203052,38530.69947961102
F156,small,17277.26789295925,40120.71908841684
F157,small,31880.986300300614,8646.631866970049
F158,small,40996.15431463497,36643.67290468664
F159,small,15645.83515486625,50574.07192035701
F160,small,24261.861903915436,46990.54709319512
F161,small,44500.36528347585,31636.35795829023
F162,small,32024.44899400776,48040.345036647646
F163,small,7628.283166512114,31218.13982884189
F164,small,11519.501306212287,32416.495461741775
F165,small,24225.715344910997,19618.048420324147
F166,small,38157.44603214148,46295.19609029752
F167,small,44659.017355468284,41569.51853010002
F168,small,7542.106781992783,42323.34784282566
F169,small,31786.739458880187,18270.354786577227
F170,small,36849.93309443741,7381.107970755951
F171,small,14140.568674484544,35390.58419837235
F172,small,29677.150877578722,27004.363219539617
F173,small,7442.010196854379,30045.481824047794
F174,small,11040.849134209182,38496.5074744319
F175,small,10751.418627562904,57497.40043549241
F176,small,19624.433995740997,51975.081649305845
F177,small,7698.016098445656,47899.61829843471
F178,small,27992.214279154487,29303.09817793048
F179,small,24532.453432565006,39921.38404992918
F180,small,43733.151725577845,36593.38422611986
F181,small,25952.283024299893,54286.29887338632
F182,small,36254.68864393419,22862.894682015263
F183,small,8106.749084860593,39108.531994437326
F184,small,29630.768329297865,42893.043620464174
F185,small,15136.874199894895,28818.75266834485
F186,small,41043.77511662208,24778.236218091082
F187,small,16801.220454146845,31672.748164762997
F188,small,36509.37298639497,51127.21902701231
F189,small,23529.102039370056,54532.65002890394
F190,small,15692.454924245616,54007.73354782857
F191,small,26796.72329423646,54374.202176179075
F192,small,34253.96905671565,32779.88244762332
F193,small,14792.384428073752,49336.54080003314
F194,small,9488.492412349695,37919.09784584459
F195,small,32188.269985935345,7490.424405700906
F196,small,25925.720598306616,42611.22400369925
F197,small,32828.8510269468,56073.3674741862
F198,small,26180.111930802424,50482.5848621256
F199,small,23490.121750345916,57054.134059353346
F200,small,27152.97692703618,56571.66662220044
F201,small,48833.298027767145,33877.40274052437
F202,small,27196.067898115358,48419.201155892166
F203,small,20617.387770837464,48943.13555133307
F204,small,30805.593252566887,46090.84587628447
F205,small,11494.931500266975,30297.153692467913
F206,small,31773.182373301446,47297.04815967171
F207,small,27430.14835695294,20664.471632685796
F208,small,26557.900353517598,40606.09867393413
F209,small,9350.269318593862,40448.34580041929
F210,small,13366.574933140817,37742.2795057853
F211,small,23671.912992396665,46764.637995649806
F212,small,30059.67606808216,46076.763124287754
F213,small,36473.56457054083,32170.91303227435
F214,small,37771.961397819534,20443.11291514272
F215,small,18902.444933338254,59824.07388104844
F216,small,34298.18408895954,25160.972921384862
F217,small,37874.204387227146,6495.434120412118
F218,small,36285.09759168772,34843.89316234465
F219,small,17456.509621257504,52287.2117676429
F220,small,46132.28840519619,23592.170504182286
F221,small,5732.3292342016575,38641.556043021796
F222,small,43691.982898107155,36278.85275415542
F223,small,15493.221637894041,49930.25466838977
F224,small,19716.746212458314,57414.15193575427
F225,small,19278.01824621751,41098.093871332756
F226,small,36110.88635247701,10894.16388009872
F227,small,17637.46272484286,32800.66522779054
F228,small,35495.723479041,28473.648111283957
F229,small,5218.48569245765,30759.97570078645
F230,small,27513.617286353863,49506.41102860347
F231,small,32911.28431159901,19117.216006352555
F232,small,44961.02060486961,22695.44776866617
F233,small,38931.26092245731,4206.577528240976
F234,small,33055.183490549236,10297.720881714633
F235,small,10831.488667371423,54480.30311826297
F236,small,39131.388679717274,52532.270122927555
F237,small,37735.27912481524,47093.5651028229
F238,small,20601.220363241086,55634.28457671021
F239,small,10988.34621620118,28165.32459107877
F240,small,15807.346415281054,38831.79780415203
F241,small,3739.298430716801,39776.24319406011
F242,small,32399.430047805105,50035.12068314119
F243,small,43694.86043969071,22534.74610923353
F244,small,30300.10985312984,50644.49940999309
F245,small,3906.7772633924246,29204.314340195415
F246,small,12455.342827599992,52251.4106464051
F247,small,27486.111070826795,55141.19649871304
F248,small,5485.335939193632,28327.18049068472
F249,small,30873.730013427612,35276.582875290704
F250,small,34391.08095281386,21175.978118923093
F251,small,28754.033167483503,32837.22280777218
F252,small,32353.238386118737,6442.239297558721
F253,small,16871.579855126165,60173.115983748336
F254,small,21025.29546762389,29563.775572699913
F255,small,18013.644896128157,44771.21280160859
F256,small,14501.921631276624,53053.74629817985
F257,small,3273.5840759314224,43526.56871174928
F258,small,13613.025300119292,51142.41175970658
F259,small,41236.18183322022,27250.11172950311
F260,small,31018.543589638342,23521.669213418973
F261,small,16812.079175201092,51223.44398279164
F262,small,32245.617247460745,54939.7394269755
F263,small,24826.956345232436,11468.794597204584
F264,small,27707.099688785533,54262.07528671867
F265,small,31405.77311619094,25387.58325829713
F266,small,29578.487642461474,26660.73492489503
F267,small,24357.183994225226,57998.13437770484
F268,small,19955.89748517726,29679.701389559898
F269,small,38204.74239454457,38078.2017974577
F270,small,35857.78588464794,46438.540808637816
F271,small,17749.224901073274,28223.48957615895
F272,small,32632.743162003313,11574.699914739915
F273,small,31568.90921868609,54963.15611879233
F274,small,36587.716989634835,10589.141714073972
F275,small,35535.72413255235,25519.406593753985
F276,small,11412.790799051352,53546.08158221272
F277,small,24526.309375960802,19719.125359337337
F278,small,33256.115424546704,55988.17038468029
F279,small,31505.394363425563,28916.308250955728
F280,small,32188.724477902804,41991.81930864019
F281,small,22651.321095682382,42688.75583101267
F282,small,24618.151199680153,42203.215336828005
F283,small,34827.5433071503,30351.13155925627
F284,small,6628.634450858042,39029.40859198345
F285,small,24089.08633969171,57403.29205182047
F286,small,15760.276918636453,45150.21512482052
F287,small,20592.839649365036,37447.92517261734
F288,small,39847.98839603004,31508.140139847095
F289,small,7787.105029809245,32316.04348797246
F290,small,24256.848403728647,40676.153173807375
F291,small,31673.16212242724,48898.543148464516
F292,small,11970.997345454824,40708.22408835709
F293,small,21086.26641978189,50763.89416864011
F294,small,4162.395156733677,49180.794683626365
F295,small,38914.596863437226,23048.336080743018
F296,small,36714.39827033862,22227.764087611642
F297,small,19918.10876632457,22482.825738142623
F298,small,28170.43078255462,50925.324728060375
F299,small,44751.90338651499,30804.925709208397
F300,small,25976.77708205392,31806.68688064641
F301,small,11341.961593432203,31324.517691928068
F302,small,28745.51402356532,57016.05897793533
F303,small,16494.638222464913,44722.25117226706
F304,small,26112.757879792753,38552.476627077645
F305,small,29940.624808932884,11348.835861121479
F306,small,18743.77738328398,50215.043209695585
F307,small,8333.518455023885,46829.60676310908
F308,small,42212.480548606414,27247.821136830495
F309,small,27179.434205629106,46306.82696145833
F310,small,41951.3777785104,31714.429092134855
F311,small,41812.48384974995,25850.829344280595
F312,small,28540.391848188203,49438.2994750781
F313,small,26293.89749711631,8331.597918074298
F314,small,50132.647794757504,25074.9771909717
F315,small,25614.28329580716,31391.665624691115
F316,small,20555.626736666556,28649.07973710276
F317,small,23288.061010345074,31057.59635656307
F318,small,40843.697983234975,41203.91115701804
F319,small,7184.951030000329,49110.37698783835
F320,small,22045.87841722308,22114.21618910087
F321,small,19503.8559228125,38475.44044503511
F322,small,45762.90930233386,24384.896966794444
F323,small,33050.26190659207,36523.85498523109
F324,small,22967.712263386104,47056.464613090335
F325,small,23270.98274736299,34360.60829747602
F326,small,9830.309416439142,45826.60881219183
F327,small,14885.333924664135,34239.26061169702
F328,small,27044.879524347558,27328.92141371007
F329,small,31100.021900483553,51922.95194236838
F330,small,6797.565181937606,39950.04757688028
F331,small,37789.23153999189,31244.380472869976
F332,small,20117.59589836213,36703.576898079315
F333,small,33955.05117942918,23939.842397992863
F334,small,35825.59059646756,36511.64747760603
F335,small,4509.417284615134,48076.166343203025
F336,small,26523.243944662165,47354.86931324578
F337,small,43747.971158473876,41520.117867425346
F338,small,31243.54976283036,11911.880017303984
F339,small,12162.010254025523,51002.70735588256
F340,small,9705.345113038444,31635.739761481163
F341,small,35826.52862935029,53479.24634709359
F342,small,16600.0631296834,33122.64807735801
F343,small,34258.54414239844,39996.13999824906
F344,small,9918.655494111546,36958.87946447134
F345,small,22981.006929181982,49640.60781501532
F346,small,21289.74105667043,13528.518169971376
F347,small,12172.504275426998,38311.57245902009
F348,small,20346.016650559464,26779.00848718406
F349,small,23929.449545032086,59602.38733540302
F350,small,27262.32282956103,21260.356768765243
F351,small,38664.76322005662,26260.463731254604
F352,small,11440.751056471056,40047.25410411192
F353,small,10527.052590402427,27928.770876966293
F354,small,40837.55188775111,21531.534106300514
F355,small,25405.242600091548,52746.22013107167
F356,small,25213.261189335204,47882.1724405728
F357,small,23794.961228639346,23498.10207038315
F358,small,25177.054513977164,19992.2822098709
F359,small,22704.893136581773,26469.34605363482
F360,small,4822.404830250959,38737.53423890587
F361,small,32677.474219986565,16939.833778356697
F362,small,37233.303013995726,51031.939185764044
F363,small,24227.862285653962,13379.18764057883
F364,small,20385.794616562293,39867.78780588561
F365,small,38059.28151924495,27586.07139099789
F366,small,22969.83225233488,52316.42606896437
F367,small,28197.94453016653,10416.235049687017
F368,small,28517.1435942967,47535.49659019188
F369,small,37974.30766549291,45883.53836789787
F370,small,16486.622624292868,49459.31657352373
F371,small,28012.4750105366,51671.36491832831
F372,small,1775.8327994168508,27477.424475500946
F373,small,3041.946073326561,45222.762814539434
F374,small,30371.884946184455,37384.821691671124
F375,small,9713.938844984381,37556.16137983304
F376,small,34892.165618414176,7704.30418607127
F377,small,33554.536032825126,22495.022189674884
F378,small,42867.660307868464,35290.72241826985
F379,small,3427.7762166995076,30934.875490096143
F380,small,37694.39110777295,33690.366709874506
F381,small,30756.21378163158,11950.968622459732
F382,small,35340.23671071228,20649.222700736434
F383,small,15330.467741731616,58744.31122563795
F384,small,29480.66122015741,6296.873792767916
F385,small,3641.5304135496854,41530.93000578675
F386,small,14168.475074618842,40735.92298292491
F387,small,22843.94932406078,10545.190159291282
F388,small,44317.38386586624,40378.2905444761
F389,small,10090.207379587506,47647.69705946524
F390,small,33309.85032946144,56633.898580189256
F391,small,11244.994440094104,43854.64789443731
F392,small,5949.64867290806,45219.669699642116
F393,small,30707.95850415603,26667.13069090017
F394,small,36422.564403087636,37173.355474956195
F395,small,20711.118496486408,42408.336969953656
F396,small,25503.904033046383,48020.71461716815
F397,small,15225.321903187205,50620.870405432965
F398,small,34915.00961518216,38362.36257778867
F399,small,17328.284910593993,27714.614185824466
F400,small,28044.742808552917,51311.911484369506
F401,small,36452.4166965693,29181.5048211637
F402,small,19887.55684209263,24658.293247709822
F403,small,2011.400819449201,47778.782625486136
F404,small,19352.718519245183,50204.91427263792
F405,small,43695.16617548575,30851.293263393938
F406,small,36759.206218086045,3100.472790747742
F407,small,33958.13452798069,35797.05840591589
F408,small,36910.719600395205,46051.97763330609
F409,small,31806.26618953851,46128.116559079346
F410,small,39106.65102674042,28577.32213194015
F411,small,49079.86268542701,25088.31144934503
F412,small,38631.14635935709,25988.78958738237
F413,small,29012.560977799818,22620.988041908713
F414,small,17594.355319425522,56794.26309807376
F415,small,34313.20029619744,38681.49532310647
F416,small,37119.23155920002,34493.809817351415
F417,small,31521.099155964086,38367.12008704803
F418,small,10791.462587040467,47844.38055477766
F419,small,15566.237387290725,55430.96165892668
F420,small,23560.704011876507,10707.017935649379
F421,small,21291.97233439875,56549.802009857965
F422,small,19970.00274704992,55136.51166063949
F423,small,14141.33503918638,35754.812073190755
F424,small,27524.616738966724,15575.521448131782
F425,small,28206.864146957327,44221.63738879449
F426,small,24074.430050854065,50513.28189987235
F427,small,16165.543795555819,45679.46979588403
F428,small,20214.75458155396,46237.558816671364
F429,small,5758.647399843002,43221.201372661446
F430,small,6555.686528160403,33975.71558371652
F431,small,50999.00284197023,24898.497101908175
F432,small,10053.330700417222,50542.542248267055
F433,small,39459.16477142074,26276.71803934028
F434,small,32095.233399000837,30250.028005971046
F435,small,22799.403458499244,53047.63181471723
F436,small,36998.66357378153,25466.069712262608
F437,small,29473.5158521384,25934.456207841118
F438,small,10407.594350332525,45299.08601986494
F439,small,18327.409574228193,28398.978885449393
F440,small,39059.42186915099,4714.756266238931
F441,small,22791.607462295153,7951.041931017941
F442,small,32480.71286764818,25088.994523400423
F443,small,8992.749487859048,35739.887183078135
F444,small,35159.04701017434,24743.443066256405
F445,small,17894.39493375769,33228.29947121691
F446,small,25059.163393828992,44946.26141727502
F447,small,12940.885828753906,42954.34940041833
F448,small,27473.281131666892,14038.925895932764
F449,small,5052.603286624308,42928.27197971904
F450,small,33787.331417008165,42065.72522477761
F451,small,15208.69291082301,33146.197751568674
F452,small,31532.712580801362,26175.552015242723
F453,small,18757.31064257915,60635.632007151085
F454,small,33559.20443785561,15506.312774526103
F455,small,39576.05459756757,20974.415992698254
F456,small,8140.803567026062,44090.54446978984
F457,small,24654.959520076267,10173.111205205216
F458,small,20409.65284663554,46963.13473434587
F459,small,39781.236984065836,4632.299845026651
F460,small,8653.339482261761,43154.04630078208
F461,small,4826.982978645483,48107.826732226575
F462,small,34943.89753391728,30565.15549312195
F463,small,5566.010819405533,49354.185341114455
F464,small,26005.728498505792,45082.9111503037
F465,small,16443.55811186944,54366.391466851535
F466,small,36682.1824095435,27087.591507687117
F467,small,15524.899555298363,47015.77569898953
F468,small,5718.673277260814,40417.768231464004
F469,small,6321.06354537172,32263.900399517657
F470,small,30232.607522985392,11829.229386890349
F471,small,32186.25162723951,39530.47475471523
F472,small,32865.98610666545,34823.09666450764
F473,small,4397.12567161476,28121.190288787486
F474,small,45935.33045583582,26051.74819679116
F475,small,3032.864090929192,30267.00226994304
F476,small,42281.27609559288,24548.542050133772
F477,small,26669.75109270308,10865.277154940626
F478,small,33881.89589179462,52694.18583098184
F479,small,33765.45162766027,53116.81722269051
F480,small,10753.382313935352,33228.17934423813
F481,small,11082.802002004211,44064.79837046844
F482,small,11529.946695887265,42827.154005630066
F483,small,24740.43172907622,42917.76227681935
F484,small,9348.7269924759,29087.380778310697
F485,small,31585.475815385493,12816.2227428523
F486,small,39222.113796030106,41266.55095634836
F487,small,33744.58279842473,24335.74858570331
F488,small,31558.97547096473,45169.07101356054
F489,small,24175.72959770039,14553.584636591491
F490,small,31064.723392633216,45782.72400421875
F491,small,35505.599870614125,34185.15364329787
F492,small,12743.994461921711,27508.42944089294
F493,small,13595.674232184887,52836.647494351346
F494,small,8522.023065443718,52697.82397599629
F495,small,18857.203537023135,55474.196746665024
F496,small,13639.74713063899,42476.611132830556
F497,small,15899.906141040934,45466.76533973494
F498,small,20433.91739615956,30731.239366442074
F499,small,11731.426216619624,34128.365983671334
F500,small,38728.423320385045,41136.16346258424
F501,small,13367.435439783696,47414.49270507206
F502,small,28004.193374266204,19874.737438173735
F503,small,30834.96558608568,40978.55860119791
F504,small,29667.158555550246,41372.68502908377
F505,small,10961.486130114925,39821.668111046405
F506,small,30284.951442270558,34390.109588003186
F507,small,32867.89532681469,25292.021342233173
F508,small,14234.051250067236,27359.315908882694
F509,small,17207.97198253021,41628.92944447093
F510,small,24157.05136211091,39720.360595495855
F511,small,26886.683246366614,21768.363518602193
F512,small,14123.819560712958,57484.680862049274
F513,small,23211.272810438782,45456.17809974607
F514,small,26085.666320942408,27787.588308483853
F515,small,11228.096663441933,44771.02717824694
F516,small,39763.13295371241,36804.733551653735
F517,small,6620.432064187861,46119.622215454205
F518,small,9852.436927547285,40639.68728799119
F519,small,43497.14711008065,36590.97415120144
F520,small,34383.24305464334,21825.372586025434
F521,small,15213.118358117052,45657.421000916554
F522,small,32739.368870320257,51476.132438573826
F523,small,24725.93871648774,46602.19452443313
F524,small,50657.10292461208,24822.687328251897
F525,small,17080.222801768276,40410.47603334694
F526,small,22067.3361503448,25041.672563388598
F527,small,10104.286511110866,40879.745731213225
F528,small,35619.1916886868,37681.26971195316
F529,small,4107.665768146335,30280.54943378042
F530,small,11399.664825492902,51721.81394361826
F531,small,25347.721492389966,33543.87490177191
F532,small,32665.05940794285,32906.100327395354
F533,small,15677.604645323989,47704.3191298961
F534,small,25836.955598301494,45451.646673393625
F535,small,36036.563211364795,52809.98633255977
F536,small,42396.51484621161,28945.21629198211
F537,small,6125.243476186811,45071.438990380644
F538,small,13121.447300374317,58973.33742301562
F539,small,20451.025601607103,40525.38009746553
F540,small,35215.41795857712,5198.749399545979
F541,small,16535.093876335995,36526.98767328358
F542,small,29615.633639614607,47355.63887473993
F543,small,45734.16910805749,28753.30209059636
F544,small,29089.225943095542,48146.84282321793
F545,small,25002.976088366984,56851.4128375267
F546,small,23684.49677495447,39256.08136782448
F547,small,26425.59192929883,48275.645628376165
F548,small,18911.2129264508,50491.562171587815
F549,small,27487.913827370015,47277.47467884111
F550,small,29686.69071135721,17861.15017556318
F551,small,39894.8202190329,27447.21346298378
F552,small,12140.858707184902,56578.17400678595
F553,small,45667.53750024795,30829.662787578127
F554,small,32670.247538995653,8033.20157690341
F555,small,25529.291439935747,13934.293711558903
F556,small,26898.233258035372,41843.36098965296
F557,small,15295.281898308192,33674.644835068764
F558,small,29009.740008619425,45475.21536946578
F559,small,21144.072922507632,52341.68481936278
F560,small,18379.831286227916,45582.59107406009
F561,small,24576.32212162469,52689.31526396834
F562,small,34762.59085641125,38965.4435345321
F563,small,32236.819381410325,5716.163140682404
F564,small,29066.301425358273,5576.696524671753
F565,small,9986.955155160533,39066.9096791073
F566,small,15461.173608285282,34050.387226029015
F567,small,31795.41937115448,35460.484326246115
F568,small,35366.79701255804,36260.60122967389
F569,small,19418.05434338246,29409.205985495308
F570,small,40448.884273973,34343.4346593862
F571,small,29702.40227379928,46641.04210550099
F572,small,33376.6871354538,5762.355045452857
F573,small,13133.831007382405,34868.98952887158
F574,small,32405.427440033076,35903.76487935731
F575,small,7803.08185295974,45110.804396239684
F576,small,36071.51592894228,45873.81775140255
F577,small,6116.654410418652,52246.914179317835
F578,small,28968.67821976736,16794.0671508457
F579,small,36536.0376570111,54382.58008775227
F580,small,14283.045092595134,57181.61923641633
F581,small,11276.196541282434,34779.84684121739
F582,small,20309.183823477844,25995.52847293466
F583,small,28006.02780242542,54156.1477880809
F584,small,40805.26022471283,32072.032467660643
F585,small,18131.93504543445,57907.96412314922
F586,small,31308.8192337232,40601.52331212846
F587,small,39377.54613435394,48102.178266376526
F588,small,40929.505216375976,41719.78413839089
F589,small,37181.965291197455,13406.23197845668
F590,small,34770.31607687651,57203.25958355996
F591,small,45626.96075897024,29831.2173336813
F592,small,12714.575259945741,35055.11982705134
F593,small,15775.029904043038,42071.037118452
F594,small,4163.781182835766,45420.95303112714
F595,small,10391.520124991044,33905.179056260255
F596,small,42277.45616053356,38511.34868507154
F597,small,11260.387073760481,58400.987458308846
F598,small,25058.937084197674,57918.59504166342
F599,small,39616.8738492727,48006.67377710193
F600,small,37192.66437396201,35540.50354324878
F601,small,34556.487767770814,21406.295975591962
F602,small,33271.463773001415,52101.22554627546
F603,small,35001.69385281334,53371.51050302869
F604,small,22916.645734699785,23828.43963143067
F605,small,22445.88948434282,48493.954332496796
F606,small,40663.10933824801,4570.885268357144
F607,small,18265.79169260162,37477.94731993848
F608,small,31234.777943714245,5164.750607329575
F609,small,12463.01823407927,46182.02840547045
F610,small,6236.07279779271,34509.37653912066
F611,small,11576.437504643181,49832.337468918966
F612,small,17431.839856364128,46252.07058531908
F613,small,29393.800632698854,19638.57196254925
F614,small,30706.830404869328,21151.83990211873
F615,small,14652.605256841753,36660.91789893268
F616,small,20413.035155827456,27016.25005498409
F617,small,8308.159230341196,41580.427201166756
F618,small,10588.184314483336,50897.92593275027
F619,small,34975.293972481304,22698.54443778819
F620,small,23106.86925665077,56198.84455857545
F621,small,19016.288016355735,46170.86558028488
F622,small,39515.039090529644,24367.082438344223
F623,small,4206.7185428443245,39859.125778341324
F624,small,41845.419695222634,40723.64987837024
F625,small,37478.47075083341,52946.84688097767
F626,small,13282.66908503509,36558.06739248703
F627,small,21483.32866202498,23431.90062908743
F628,small,3187.1380431133066,47990.76057810519
F629,small,39731.329145251824,48183.151978893184
F630,small,17696.40504827029,54652.21435662238
F631,small,28355.250040534058,22809.450158552776
F632,small,26433.84293832001,41528.961496273
F633,small,34643.02604767302,33618.81182784231
F634,small,7398.609964384266,51601.40488085864
F635,small,38142.06262318487,25054.875183498087
F636,small,38471.608996281335,29456.63719489592
F637,small,11313.820859565913,47742.77015898931
F638,small,4649.713133085358,45761.84425777489
F639,small,25362.543721121416,39588.347966353
F640,small,29552.43091259532,54409.24618014771
F641,small,31461.584966864477,38971.70373624441
F642,small,6057.577725158286,49521.879602059256
F643,small,14956.441092711348,57399.68619934513
F644,small,35103.507555063836,20741.355321874995
F645,small,37280.05309547759,5187.343500660341
F646,small,36885.862111973016,39759.74373653771
F647,small,25917.12166036969,21013.062559105798
F648,small,26909.445970205663,40728.78430021355
F649,small,26571.879564657687,37320.20359157654
F650,small,13431.562767587993,38339.83320609852
F651,small,41700.520150657445,26994.89157550188
F652,small,9622.283519895675,34558.09533385433
F653,small,11691.955947499668,28442.516676866162
F654,small,6138.654414301848,43872.19370068277
F655,small,41295.334209022454,25106.294084873192
F656,small,20912.648067830254,29858.064035754738
F657,small,4052.765982506035,36047.81542479895
F658,small,13602.484560985084,43575.154105957095
F659,small,2485.4646712702684,47563.21747932087
F660,small,35425.827503897824,5480.553966245715
F661,small,16107.37148947777,55789.79601663959
F662,small,13966.8023414305,50848.587692292436
F663,small,22100.692350372603,20982.25275798929
F664,small,9895.31957580094,36536.375825233794
